Site,Date,Species,Time,Code,lookup,Transect,OI_Site,OI_Transects,TPI_Site,TPI_Transects,Isolation,Floral_Diversity,Floral_Richness,Flora,Site_Size,Site_Isolation,Connectivity,Distance_to_Closest_External_Patch,Distance,Day,Month,Year,Wind_ms,Cloud_cover,Temp,Humidity,Radiation,FHD_Simp,Thermal_div_Simp,T_Code,OI_Patch_old,TPI_Site_old,Sp_Code,OI_old,TPI_Patch_old,Abundance,Occurrence,OI_Limestone,Limestone_percent,Limestone_ha,Limestone_km2,Size_fix,Size
1,22-07-2021,pegala,67,12,pegala12,1,4.106678316,6.592005926,0.84796899,0.914006209,57883.369,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,0.088257383,0.832394574,22,0.4107811,0.875220101,0,0,2.03,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,philodice,67,12,philodice12,1,5.838106841,10.91259682,0.858705056,0.92506441,57883.369,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,0.246133943,0.843054667,23,0.7151192,0.8860891,1,1,2.85,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,plexippus,67,12,plexippus12,1,8.105809958,19.09295916,0.866178318,0.934944048,57033.493,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,0.702769966,0.849960402,24,1.230443,0.894555384,1,1,4,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,polios,67,12,polios12,1,55.22796229,88.42286449,1.0629108,1.182522035,57033.493,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,89.45022777,1.034701328,25,56.0588914,1.11226992,0,0,49.32,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,progne,67,12,progne12,1,33.01886376,66.28610025,0.947150104,1.04057018,34149.44,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,44.84297312,0.925117634,26,21.8626861,0.985701104,0,0,25.54,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,rapae,67,12,rapae12,1,4.499963626,7.409061693,0.842228427,0.912060375,32146.744,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,0.120051968,0.825759051,27,0.474238,0.871045482,0,0,2.21,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,sassacus,67,12,sassacus12,1,41.12762007,77.05979759,0.978022521,1.133080855,57883.369,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,69.18172798,0.941453075,28,34.1571061,1.042009327,0,0,34.1,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,selene,67,12,selene12,1,20.95310769,52.14776726,0.893016463,0.985524976,57033.493,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,11.3024268,0.871198978,29,8.057843,0.931191295,0,0,13.49,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,tharos,67,12,tharos12,1,5.153938775,8.970727615,0.835288334,0.910387481,57883.369,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,0.172129305,0.817576726,30,0.584923,0.866278967,3,1,2.52,13.42,0.34,0.0034,0.02221951,0.022
1,22-07-2021,themistocles,67,12,themistocles12,1,3.005817271,4.467116229,0.79334537,0.878097673,57883.369,3.584159485,7,8.676185,0.02561951,473358.4215,473.3584215,2125.704,2.125704,22,7,2021,2.3,0.15,22.4,0.539,3050,0.8108,0.9564,110,0.049336425,0.773357132,31,0.2531272,0.828319502,0,0,1.53,13.42,0.34,0.0034,0.02221951,0.022
